,Unnamed: 0,customer_no,recency,frequency,revenue,donation_channel,recency_cluster,frequency_cluster,revenue_cluster,overall_score,Segment,donation_source
7,7,443214,490,1,81.0,1,1,0,0,1,1,Default
10,10,316020,365,1,199.0,6,1,0,0,4,4,Web
17,17,17943,34,7,80.0,6,1,1,0,2,2,Web
72,72,421588,34,3,307.0,6,1,1,0,4,4,Web
74,74,227472,11,2,63.0,6,1,1,0,4,4,Web
84,84,419880,244,3,98.0,6,1,1,0,4,4,Web
89,89,272752,6,3,54.0,6,1,1,0,4,4,Web
124,124,393184,242,5,536.0,6,1,1,0,2,2,Web
130,130,308483,991,2,84.0,6,0,1,0,1,1,Web
134,134,376681,226,4,78.0,6,1,1,0,4,4,Web
140,140,278783,225,1,77.0,6,1,0,0,4,4,Web
145,145,463190,306,4,114.0,6,1,1,0,4,4,Web
163,163,331837,867,5,715.0,6,1,1,0,1,1,Web
165,165,467173,361,1,65.0,6,1,0,0,4,4,Web
171,171,374775,131,4,56.0,6,1,1,0,4,4,Web
173,173,485607,239,3,104.0,6,1,1,0,4,4,Web
181,181,368814,206,4,59.0,6,1,1,0,4,4,Web
183,183,468401,1120,2,450.0,6,0,1,0,0,0,Web
187,187,446234,1,3,100.0,6,1,1,0,4,4,Web
194,194,317721,119,4,252.0,6,1,1,0,4,4,Web
199,199,326942,409,2,130.0,6,1,1,0,1,1,Web
231,231,209238,126,10,196.0,6,1,1,0,2,2,Web
236,236,291859,574,2,59.0,6,1,1,0,1,1,Web
242,242,409267,593,2,69.0,6,1,1,0,1,1,Web
244,244,478917,325,1,56.0,6,1,0,0,4,4,Web
246,246,209396,245,4,196.0,6,1,1,0,4,4,Web
254,254,166313,683,2,70.0,6,1,1,0,1,1,Web
258,258,391334,533,1,65.0,6,1,0,0,1,1,Web
261,261,17678,217,1,250.0,3,1,0,0,4,4,Box Office
273,273,14894,109,2,5000.0,6,1,1,1,3,3,Web
274,274,186846,880,1,1000.0,6,1,0,0,1,1,Web
279,279,306689,252,9,521.0,6,1,1,0,2,2,Web
287,287,306791,329,3,264.0,6,1,1,0,4,4,Web
294,294,504797,191,1,199.0,6,1,0,0,4,4,Web
329,329,209761,1166,2,57.0,6,0,1,0,0,0,Web
336,336,445159,6,3,80.0,6,1,1,0,4,4,Web
340,340,282938,117,1,1000.0,6,1,0,0,4,4,Web
349,349,205190,1377,3,85.0,6,0,1,0,0,0,Web
359,359,99430,176,1,1000.0,6,1,0,0,4,4,Web
361,361,173866,319,7,97.0,6,1,1,0,2,2,Web
370,370,111312,17,3,124.0,3,1,1,0,4,4,Box Office
389,389,298837,80,6,283.0,6,1,1,0,2,2,Web
401,401,315544,153,2,565.0,6,1,1,0,4,4,Web
404,404,429469,16,1,69.0,6,1,0,0,4,4,Web
407,407,531871,22,2,141.0,6,1,1,0,4,4,Web
409,409,318695,31,2,75.0,6,1,1,0,4,4,Web
417,417,394426,11,3,112.0,6,1,1,0,4,4,Web
422,422,275603,25,2,398.0,6,1,1,0,4,4,Web
440,441,252030,53,11,1927.0,6,1,1,0,3,3,Web
448,449,282971,407,5,500.0,6,1,1,0,1,1,Web
457,458,531756,23,1,55.0,6,1,0,0,4,4,Web
469,470,317841,1204,2,205.0,6,0,1,0,0,0,Web
487,488,402893,1200,1,250.0,6,0,0,0,0,0,Web
491,492,525927,52,1,199.0,6,1,0,0,4,4,Web
506,507,209195,333,5,65.0,6,1,1,0,2,2,Web
514,515,262571,1119,2,52.0,6,0,1,0,0,0,Web
527,528,391786,379,1,99.0,6,1,0,0,1,1,Web
539,540,211889,508,4,57.0,6,1,1,0,1,1,Web
549,550,137073,1497,2,70.0,6,0,1,0,0,0,Web
550,551,194263,589,1,99.0,6,1,0,0,1,1,Web
562,563,203994,5,8,142.0,6,1,1,0,2,2,Web
566,567,425806,657,1,500.0,6,1,0,0,1,1,Web
567,568,491050,230,1,54.0,6,1,0,0,4,4,Web
568,569,281690,1552,6,66.0,6,0,1,0,0,0,Web
575,576,394268,1,3,75.0,6,1,1,0,4,4,Web
578,579,451998,646,2,5500.0,1,1,1,1,3,3,Default
579,580,107124,1074,1,52.0,0,0,0,0,0,0,Default
580,581,125158,127,4,132.5,6,1,1,0,4,4,Web
583,584,222807,127,1,250.0,6,1,0,0,4,4,Web
585,586,514375,131,2,55.0,6,1,1,0,4,4,Web
615,616,27614,1502,3,54.0,6,0,1,0,0,0,Web
616,617,111174,410,7,630.0,6,1,1,0,1,1,Web
617,618,150843,1279,2,200.0,6,0,1,0,0,0,Web
623,624,411341,213,1,65.0,6,1,0,0,4,4,Web
626,627,108878,6,8,202.0,6,1,1,0,2,2,Web
629,630,308419,1708,5,76.0,6,0,1,0,0,0,Web
633,634,421851,669,1,61.0,6,1,0,0,1,1,Web
638,639,283746,315,2,164.0,6,1,1,0,4,4,Web
644,645,106390,158,11,6271.0,6,1,1,1,3,3,Web
650,651,414363,245,3,98.0,6,1,1,0,4,4,Web
668,670,217851,223,7,197.0,6,1,1,0,2,2,Web
685,687,463287,397,1,58.0,6,1,0,0,1,1,Web
690,692,286021,52,1,72.0,6,1,0,0,4,4,Web
693,695,404201,1115,1,100.0,6,0,0,0,0,0,Web
697,699,268317,405,2,109.0,6,1,1,0,1,1,Web
705,707,105191,792,3,140.0,6,1,1,0,1,1,Web
706,708,210837,1334,2,115.0,6,0,1,0,0,0,Web
714,716,109056,60,3,750.0,6,1,1,0,4,4,Web
716,718,283840,1458,3,113.0,6,0,1,0,0,0,Web
732,734,173317,832,1,250.0,1,1,0,0,1,1,Default
753,755,114600,1076,1,62.0,0,0,0,0,0,0,Default
772,774,468533,145,1,500.0,3,1,0,0,4,4,Box Office
774,776,139854,55,10,161.0,6,1,1,0,2,2,Web
778,780,422230,302,1,199.0,6,1,0,0,4,4,Web
783,785,409786,754,1,68.0,1,1,0,0,1,1,Default
799,801,524112,73,2,299.0,6,1,1,0,4,4,Web
801,803,260783,132,16,1649.0,6,1,1,0,3,3,Web
833,835,271446,38,27,746.0,6,1,1,0,2,2,Web
856,858,113056,59,6,203.8,6,1,1,0,2,2,Web
857,859,204974,55,4,350.0,6,1,1,0,4,4,Web
860,862,366866,921,3,54.0,6,1,1,0,1,1,Web
861,863,375494,129,2,66.0,6,1,1,0,4,4,Web
863,865,259505,43,2,125.0,6,1,1,0,4,4,Web
864,866,260217,345,2,130.0,6,1,1,0,4,4,Web
870,872,215292,726,3,261.0,6,1,1,0,1,1,Web
875,877,419164,167,5,372.0,6,1,1,0,2,2,Web
892,894,410097,254,1,65.0,6,1,0,0,4,4,Web
895,897,197361,293,5,503.0,6,1,1,0,2,2,Web
901,903,324065,500,5,69.0,6,1,1,0,1,1,Web
914,916,358506,136,2,105.0,6,1,1,0,4,4,Web
924,926,325632,268,3,208.0,6,1,1,0,4,4,Web
926,928,254448,1195,2,120.0,6,0,1,0,0,0,Web
929,931,297197,127,3,79.0,6,1,1,0,4,4,Web
949,951,214481,1165,1,100.0,6,0,0,0,0,0,Web
960,962,271420,10,5,73.0,6,1,1,0,2,2,Web
968,970,108838,857,2,261.0,6,1,1,0,1,1,Web
969,971,298108,1298,3,77.0,6,0,1,0,0,0,Web
976,978,14628,836,1,500.0,1,1,0,0,1,1,Default
986,988,409439,177,1,1000.0,6,1,0,0,4,4,Web
987,989,514426,130,1,58.0,6,1,0,0,4,4,Web
988,990,239194,67,5,82.0,6,1,1,0,2,2,Web
997,999,445762,1928,2,200.0,6,0,1,0,0,0,Web
1002,1004,420753,692,1,65.0,1,1,0,0,1,1,Default
1004,1006,222560,496,5,80.0,6,1,1,0,1,1,Web
1007,1009,313882,480,3,58.0,6,1,1,0,1,1,Web
1015,1017,191729,157,2,400.0,6,1,1,0,4,4,Web
1027,1029,432344,10,1,185.0,6,1,0,0,4,4,Web
1033,1035,319617,254,5,105.0,6,1,1,0,2,2,Web
1045,1047,402914,662,7,72.0,6,1,1,0,1,1,Web
1066,1068,328773,411,8,279.0,6,1,1,0,1,1,Web
1068,1070,432761,242,2,70.0,6,1,1,0,4,4,Web
1070,1073,177693,170,3,55.0,6,1,1,0,4,4,Web
1074,1077,393484,252,3,87.0,6,1,1,0,4,4,Web
1086,1089,305153,303,5,375.0,6,1,1,0,2,2,Web
1090,1093,403004,1179,1,100.0,6,0,0,0,0,0,Web
1091,1094,404149,31,1,199.0,6,1,0,0,4,4,Web
1107,1110,466437,365,1,56.0,6,1,0,0,4,4,Web
1111,1114,195047,839,1,2245.93,1,1,0,0,1,1,Default
1125,1128,113006,58,9,350.0,6,1,1,0,2,2,Web
1147,1150,404131,1120,1,200.0,6,0,0,0,0,0,Web
1150,1153,107229,102,3,245.0,6,1,1,0,4,4,Web
1157,1160,488905,31,3,124.0,6,1,1,0,4,4,Web
1171,1174,463505,108,3,314.0,6,1,1,0,4,4,Web
1175,1178,243048,493,1,65.0,6,1,0,0,1,1,Web
1187,1190,296249,1263,2,62.0,6,0,1,0,0,0,Web
1207,1210,198098,253,2,231.0,6,1,1,0,4,4,Web
1216,1219,461702,122,2,81.0,6,1,1,0,4,4,Web
1220,1223,404170,1118,2,53.0,6,0,1,0,0,0,Web
1223,1226,434962,561,1,65.0,6,1,0,0,1,1,Web
1225,1228,197669,129,4,88.0,6,1,1,0,4,4,Web
1234,1237,462489,406,2,199.0,6,1,1,0,1,1,Web
1253,1256,200713,1263,4,108.0,6,0,1,0,0,0,Web
1265,1268,433767,285,2,398.0,6,1,1,0,4,4,Web
1269,1272,32020,328,4,133.0,6,1,1,0,4,4,Web
1271,1274,210673,54,2,398.0,6,1,1,0,4,4,Web
1281,1284,281962,101,1,10000.0,4,1,0,1,3,3,Box Office
1282,1285,317122,281,1,65.0,6,1,0,0,4,4,Web
1289,1292,412927,860,1,100.0,6,1,0,0,1,1,Web
1290,1293,429098,577,2,63.0,6,1,1,0,1,1,Web
1292,1295,135562,319,4,70.0,6,1,1,0,4,4,Web
1299,1302,520857,103,1,250.0,6,1,0,0,4,4,Web
1307,1310,205457,1256,1,100.0,6,0,0,0,0,0,Web
1312,1315,214794,102,1,500.0,4,1,0,0,4,4,Box Office
1315,1318,283293,861,6,76.0,6,1,1,0,1,1,Web
1321,1324,534453,1,1,99.0,6,1,0,0,4,4,Web
1335,1338,390791,221,3,62.0,6,1,1,0,4,4,Web
1343,1346,326664,4,3,408.0,6,1,1,0,4,4,Web
1352,1355,10643,363,4,6000.0,6,1,1,1,3,3,Web
1382,1385,326095,1299,2,110.0,6,0,1,0,0,0,Web
1387,1390,270717,573,6,88.0,6,1,1,0,1,1,Web
1392,1395,37879,1511,2,75.0,1,0,1,0,0,0,Default
1393,1396,173479,669,5,71.0,6,1,1,0,1,1,Web
1398,1401,505741,44,3,60.0,6,1,1,0,4,4,Web
1406,1409,144411,354,3,61.0,6,1,1,0,4,4,Web
1412,1415,481319,251,2,55.0,6,1,1,0,4,4,Web
1413,1416,488886,55,1,64.0,6,1,0,0,4,4,Web
1420,1423,105150,131,4,200.0,6,1,1,0,4,4,Web
1463,1466,12258,1301,1,77.5,0,0,0,0,0,0,Default
